,0
accuracy,0.5309369812832694
balanced_accuracy,0.5811341002258678
top-2-accuracy,0.7157003033598535
macro-f1,0.5258315424042586
macro-precision,0.5240424967208523
macro-recall,0.5811341002258678
weighted-f1,0.5864332292901635
weighted-precision,0.5309369812832694
weighted-recall,0.5378578023619182
