,0
accuracy,0.5637341880831092
balanced_accuracy,0.48983893402773737
top-2-accuracy,0.7389388128899319
macro-f1,0.5127340154161703
macro-precision,0.5664166291794107
macro-recall,0.48983893402773737
weighted-f1,0.5659560520998462
weighted-precision,0.5637341880831092
weighted-recall,0.5570973066390009
