,0
accuracy,0.6957243431972984
balanced_accuracy,0.5888654700345942
top-2-accuracy,0.8524984259630244
macro-f1,0.5906356733463212
macro-precision,0.6193580238070091
macro-recall,0.5888654700345942
weighted-f1,0.6832862433049439
weighted-precision,0.6957243431972984
weighted-recall,0.684033081597619
